0.07059	0.06787	0.06515	0.06243	0.05971	0.05699	0.05426	0.05157	0.04895	0.04633	0.04371	0.04114	0.03857	0.03601	0.03344
0.06561	0.06327	0.06093	0.05859	0.05625	0.05392	0.05160	0.04931	0.04703	0.04475	0.04245	0.04014	0.03783	0.03552	0.03321
0.06109	0.05923	0.05738	0.05552	0.05367	0.05182	0.04969	0.04762	0.04556	0.04350	0.04139	0.03929	0.03719	0.03509	0.03298
0.05931	0.05743	0.05556	0.05368	0.05180	0.04992	0.04804	0.04617	0.04429	0.04238	0.04046	0.03854	0.03662	0.03470	0.03277
0.05724	0.05547	0.05370	0.05193	0.05016	0.04839	0.04662	0.04485	0.04309	0.04136	0.03962	0.03788	0.03614	0.03440	0.03267
0.05557	0.05386	0.05214	0.05043	0.04872	0.04701	0.04529	0.04358	0.04199	0.04039	0.03880	0.03720	0.03561	0.03401	0.03242
0.05403	0.05237	0.05071	0.04905	0.04739	0.04573	0.04403	0.04254	0.04105	0.03956	0.03807	0.03658	0.03509	0.03361	0.03212
0.05238	0.05080	0.04922	0.04764	0.04606	0.04447	0.04297	0.04157	0.04016	0.03875	0.03735	0.03594	0.03454	0.03313	0.03172
0.04988	0.04856	0.04725	0.04593	0.04462	0.04331	0.04199	0.04068	0.03936	0.03805	0.03674	0.03542	0.03411	0.03279	0.03148
0.04850	0.04727	0.04604	0.04481	0.04358	0.04235	0.04112	0.03989	0.03866	0.03743	0.03620	0.03496	0.03373	0.03250	0.03127
0.04717	0.04602	0.04487	0.04372	0.04257	0.04142	0.04026	0.03911	0.03796	0.03681	0.03566	0.03451	0.03336	0.03221	0.03106

0.10647	0.10393	0.10048	0.09702	0.09347	0.08988	0.08621	0.08235	0.07848	0.07379	0.06921	0.06530	0.06138	0.05740	0.05343
0.10208	0.09905	0.09602	0.09299	0.08996	0.08688	0.08338	0.07988	0.07591	0.07163	0.06769	0.06400	0.06037	0.05701	0.05365
0.09742	0.09489	0.09236	0.08984	0.08732	0.08406	0.08080	0.07736	0.07350	0.06967	0.06633	0.06298	0.05976	0.05670	0.05363
0.09678	0.09379	0.09079	0.08780	0.08480	0.08181	0.07881	0.07527	0.07168	0.06826	0.06502	0.06178	0.05899	0.05632	0.05364
0.09372	0.09092	0.08812	0.08532	0.08252	0.07971	0.07660	0.07326	0.06991	0.06691	0.06392	0.06095	0.05847	0.05599	0.05351
0.09090	0.08833	0.08576	0.08320	0.08063	0.07793	0.07465	0.07138	0.06833	0.06550	0.06267	0.06006	0.05773	0.05541	0.05308
0.08856	0.08617	0.08378	0.08139	0.07900	0.07599	0.07283	0.06968	0.06700	0.06430	0.06160	0.05931	0.05712	0.05493	0.05274
0.08989	0.08677	0.08365	0.08053	0.07741	0.07429	0.07117	0.06834	0.06574	0.06313	0.06064	0.05854	0.05645	0.05436	0.05227
0.08576	0.08275	0.07973	0.07672	0.07371	0.07070	0.06803	0.06550	0.06297	0.06044	0.05866	0.05673	0.05480	0.05287	0.05094
0.08576	0.08275	0.07973	0.07672	0.07371	0.07070	0.06803	0.06550	0.06297	0.06059	0.05866	0.05673	0.05480	0.05287	0.05094
0.08371	0.08080	0.07789	0.07497	0.07206	0.06925	0.06675	0.06426	0.06177	0.05971	0.05783	0.05594	0.05405	0.05216	0.05027

